시군명,명칭,주소,면적,취득일,데이터기준일자
안양시,안양1동 행정복지센터,경기도 안양시 만안구 장내로 170,3309.57,2006-05-29,2026-06-30
안양시,안양1동 경로당,경기도 안양시 만안구 안양동 164,59.24,2014-09-18,2026-06-30
안양시,실내수영장,경기도 안양시 동안구 평촌대로 389,5890.33,1997-12-24,2026-06-30
안양시,신촌동사무소,경기도 안양시 동안구 동안로 28,3383.32,1992-08-30,2026-06-30
안양시,신촌놀이터화장실,경기도 안양시 동안구 호계동 1055-2,33.21,1995-02-26,2026-06-30
안양시,신촌경로당,경기도 안양시 동안구 평촌대로127번길 90,191.28,1998-07-31,2026-06-30
안양시,신종질병관리센터동,경기도 안양시 만안구 안양로 175,7428.11,2018-01-31,2026-06-30
안양시,신기어린이공원 공중화장실,경기도 안양시 동안구 호계동 1056-1,29.28,2014-07-31,2026-06-30
안양시,신기놀이터화장실,경기도 안양시 동안구 호계동 1056-1,12.96,1995-02-28,2026-06-30
안양시,신기경로당,경기도 안양시 동안구 경수대로665번길 65-16,298.72,2001-08-09,2026-06-30
안양시,시청사(어린이집),경기도 안양시 동안구 시민대로 235,430,1996-10-31,2026-06-30
안양시,시청사(경비실),경기도 안양시 동안구 시민대로 235,63,1996-10-31,2026-06-30
안양시,시청사,경기도 안양시 동안구 시민대로 235,42664.94,1996-10-31,2026-06-30
안양시,시의회,경기도 안양시 동안구 시민대로 235,6239.74,1996-10-31,2026-06-30
안양시,시민공원 매점,경기도 안양시 만안구 안양동 산 81-1 시민공원,34.5,2006-05-24,2026-06-30
안양시,시내버스공영차고지,경기도 안양시 만안구 일직로 119,2380,2011-06-27,2026-06-30
안양시,시내버스공영차고지,경기도 안양시 만안구 일직로 119,66.4,2011-06-27,2026-06-30
안양시,시내버스공영차고지,경기도 안양시 만안구 일직로 119,274.66,2011-06-27,2026-06-30
안양시,시내버스공영차고지,경기도 안양시 만안구 일직로 119,1406.68,2011-06-27,2026-06-30
안양시,시내버스공영차고지,경기도 안양시 만안구 일직로 119,32.4,2011-06-27,2026-06-30
안양시,스마트케어하우스,경기도 안양시 만안구 명학로 56-1,524.75,2022-11-25,2026-06-30
안양시,수촌경로당 및 지하주차장,경기도 안양시 동안구 관악대로287번길 104-22,84,2000-08-05,2026-06-30
안양시,수위실,경기도 안양시 만안구 안양로 175,48.6,2018-01-31,2026-06-30
안양시,수산동,경기도 안양시 동안구 흥안대로 313,17840.4,1997-03-25,2026-06-30
안양시,수리장애인종합복지관,경기도 안양시 만안구 냉천로 39,15621.25,2003-07-10,2026-06-30
안양시,소호경로당,경기도 안양시 동안구 경수대로685번길 15,132.4,1990-01-30,2026-06-30
안양시,설해대책용 보관창고,경기도 안양시 만안구 안양동 58-3,646,2016-01-01,2026-06-30
안양시,석실분,경기도 안양시 만안구 예술공원로245번길 150-1,45,1997-12-05,2026-06-30
